MERCHANT.ID,MERCHANT.NAME,MERCHANT.PHONE,MERCHANT.EMAIL,MERCHANT.ADDRESS,MERCHANT.POST.CODE,MERCHANT.CITY,MERCHANT.STATE,MERCHANT.COUNTRY,MERCHANT.COUNTRY.CODE,MERCHANT.STATUS,MERCHANT.LOGO,MERCHANT.COVER,MERCHANT.COMMISSION,MERCHANT.TAX.METHOD
685543a321bb01b10405ebd6,"Yojin Ottery St Mary",+447743458940,admin@yojin.co.uk,"Please visit your local supermarket / store","EX11 1QG","Ottery St Mary",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a3b6526.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a3b6ece.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a321bb01b10405ebd7,"Yojin Colyton",+447743458941,admin@yojin.co.uk,"Please visit your local supermarket / store","EX24 6HD",Colyton,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a43bb45.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a43c51d.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a421bb01b10405ebd8,"Yojin Charminster",+447743458942,admin@yojin.co.uk,"Please visit your local supermarket / store","DT2 9QF",Charminster,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a47c695.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a47ced8.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a421bb01b10405ebd9,"Yojin Puddletown",+447743458943,admin@yojin.co.uk,"Please visit your local supermarket / store","DT2 8QG",Puddletown,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a4bb114.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a4bbb6e.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a421bb01b10405ebda,"Yojin Tolpuddle",+447743458944,admin@yojin.co.uk,"Please visit your local supermarket / store","DT2 7EU",Tolpuddle,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a50848e.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a509249.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a521bb01b10405ebdb,"Yojin Turners Puddle",+447743458945,admin@yojin.co.uk,"Please visit your local supermarket / store","DT2 7JB","Turners Puddle",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a549c2d.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a54a600.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a521bb01b10405ebdc,"Yojin Slepe",+447743458946,admin@yojin.co.uk,"Please visit your local supermarket / store","BH16 6EZ",Slepe,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a58c8cc.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a58d1ae.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a521bb01b10405ebdd,"Yojin Upton",+447743458947,admin@yojin.co.uk,"Please visit your local supermarket / store","BH16 5HN",Upton,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a5cfaf3.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a5d0a9b.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a521bb01b10405ebde,"Yojin Poole",+447743458948,admin@yojin.co.uk,"Please visit your local supermarket / store","BH15 3PQ",Poole,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a625ce7.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a6265f3.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a621bb01b10405ebdf,"Yojin Talbot Village",+447743458949,admin@yojin.co.uk,"Please visit your local supermarket / store","BH3 7JL","Talbot Village",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a6808eb.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a68110b.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a621bb01b10405ebe0,"Yojin Bournemouth",+447743458950,admin@yojin.co.uk,"Please visit your local supermarket / store","BH7 6PJ",Bournemouth,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a6bf630.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a6bfeb6.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a621bb01b10405ebe1,"Yojin Christchurch",+447743458951,admin@yojin.co.uk,"Please visit your local supermarket / store","BH23 3PW",Christchurch,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a70abc7.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a70b4d2.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a721bb01b10405ebe2,"Yojin Barton on Sea",+447743458952,admin@yojin.co.uk,"Please visit your local supermarket / store","BH25 7QG","Barton on Sea",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a754cf8.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a75552a.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a721bb01b10405ebe3,"Yojin Everton",+447743458953,admin@yojin.co.uk,"Please visit your local supermarket / store","SO41 0LB",Everton,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a7a544c.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a7a5cb8.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a721bb01b10405ebe4,"Yojin Sourton",+447743458954,admin@yojin.co.uk,"Please visit your local supermarket / store","EX20 4HW",Sourton,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a7df550.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a7dfde0.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a821bb01b10405ebe5,"Yojin Alphington",+447743458955,admin@yojin.co.uk,"Please visit your local supermarket / store","EX2 8WJ",Alphington,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a827433.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a827c70.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a821bb01b10405ebe6,"Yojin Topsham",+447743458956,admin@yojin.co.uk,"Please visit your local supermarket / store","EX3 0BU",Topsham,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a862373.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a862c3c.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a821bb01b10405ebe7,"Yojin Woodbury Salterton",+447743458957,admin@yojin.co.uk,"Please visit your local supermarket / store","EX5 1QS","Woodbury Salterton",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a89c459.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a89cc80.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a821bb01b10405ebe8,"Yojin Hawkerland",+447743458958,admin@yojin.co.uk,"Please visit your local supermarket / store","EX10 0JA",Hawkerland,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a8d97eb.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a8da35c.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a821bb01b10405ebe9,"Yojin Sidmouth",+447743458959,admin@yojin.co.uk,"Please visit your local supermarket / store","EX10 0LY",Sidmouth,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a926fd1.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a92781f.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a921bb01b10405ebea,"Yojin Salcombe Regis",+447743458960,admin@yojin.co.uk,"Please visit your local supermarket / store","EX10 0NU","Salcombe Regis",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543a969ddd.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543a96aae6.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543a921bb01b10405ebeb,"Yojin Alpraham",+447743459011,admin@yojin.co.uk,"Please visit your local supermarket / store","CW6 9JD",Alpraham,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543aa0ebf7.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543aa0f4d2.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543aa21bb01b10405ebec,"Yojin Minshull Vernon",+447743459012,admin@yojin.co.uk,"Please visit your local supermarket / store","CW1 4UG","Minshull Vernon",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543aa4dea3.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543aa4e715.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543aa21bb01b10405ebed,"Yojin Warmingham",+447743459013,admin@yojin.co.uk,"Please visit your local supermarket / store","CW11 3QU",Warmingham,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543aa88045.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543aa88838.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543aa21bb01b10405ebee,"Yojin Hassall Green",+447743459014,admin@yojin.co.uk,"Please visit your local supermarket / store","CW11 4YF","Hassall Green",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543aac4530.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543aac4d71.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543aa21bb01b10405ebef,"Yojin Odd Rode",+447743459015,admin@yojin.co.uk,"Please visit your local supermarket / store",N/A,"Odd Rode",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543ab0c857.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543ab0d0de.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543ab21bb01b10405ebf0,"Yojin Biddulph Moor",+447743459016,admin@yojin.co.uk,"Please visit your local supermarket / store","ST8 7LE","Biddulph Moor",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543ab46129.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543ab469be.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543ab21bb01b10405ebf1,"Yojin Thorncliffe",+447743459017,admin@yojin.co.uk,"Please visit your local supermarket / store","ST13 8TP",Thorncliffe,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543ab7e6fc.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543ab7efb2.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543ab21bb01b10405ebf2,"Yojin Matlock",+447743459018,admin@yojin.co.uk,"Please visit your local supermarket / store","DE4 3DD",Matlock,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543abc0733.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543abc107c.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543ab21bb01b10405ebf3,"Yojin Shirland",+447743459019,admin@yojin.co.uk,"Please visit your local supermarket / store","DE55 6EN",Shirland,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543ac05723.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543ac06034.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543ac21bb01b10405ebf4,"Yojin Blackwell",+447743459020,admin@yojin.co.uk,"Please visit your local supermarket / store","DE55 5SN",Blackwell,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543ac4a3d7.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543ac4ac5b.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543ac21bb01b10405ebf5,"Yojin Sutton in Ashfield",+447743459021,admin@yojin.co.uk,"Please visit your local supermarket / store","NG17 4BS","Sutton in Ashfield",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543ac8a4fc.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543ac8ae03.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543ac21bb01b10405ebf6,"Yojin Mansfield",+447743459022,admin@yojin.co.uk,"Please visit your local supermarket / store","NG18 4BP",Mansfield,,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543acd409a.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543acd48ea.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543ad21bb01b10405ebf7,"Yojin Rainworth CP",+447743459023,admin@yojin.co.uk,"Please visit your local supermarket / store","NG21 0HR","Rainworth CP",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543ad32657.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543ad32e8f.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543ad21bb01b10405ebf8,"Yojin Bilsthorpe CP",+447743459024,admin@yojin.co.uk,"Please visit your local supermarket / store","NG22 8TP","Bilsthorpe CP",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543ad6cb78.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543ad6d3dd.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
685543ad21bb01b10405ebf9,"Yojin Caunton CP",+447743459025,admin@yojin.co.uk,"Please visit your local supermarket / store","NG23 6AS","Caunton CP",,"United Kingdom",GB,ACTIVE,https://cdn-upload.hyperzod.app/public/5564/images/685543adb1530.svg,https://cdn-upload.hyperzod.app/public/5564/images/685543adb1db8.png,"delivery,0,0; pickup,0,0; custom_1,0,0;",inclusive
